event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,prefix,split
PersonX wants a drink,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none""]","[""thirsty"", ""parched"", ""thirsty"", ""parched""]","[""BUY DRINK"", ""DRINK IT"", ""GAIN ENERGY"", ""SHOW ENERGY""]","[""none"", ""to get drunk"", ""to enjoy""]","[""get a cup"", ""pour a drink"", ""someone to get him a drink"", ""to go to a shop""]","[""satisfied"", ""stressed"", ""very  relaxed""]","[""to buy a drink."", ""to drink the drink."", ""to ask the waiter for some lemon"", ""to let his friend try his drink""]","[""wants"", ""drink""]",trn
PersonX wants a family,"[""none"", ""none""]","[""none"", ""belonging""]","[""none"", ""To raise a family with X"", ""To bond with X"", ""to find a spouse"", ""to go out on dates""]","[""eager"", ""wishful"", ""calm"", ""relaxed""]","[""longs for a family"", ""thinks about having children"", ""tells his parents about his desire"", ""starts to look for a suitable girl""]","[""to have kids"", ""to feel like they belong""]","[""none"", ""To find a mate"", ""To save money"", ""none""]","[""lonely"", ""loved""]","[""to meet a significant other"", ""to procreate"", ""To be a good parent"", ""To do the right thing"", ""to find a girlfriend"", ""to go out on dates"", ""to meet people""]","[""wants"", ""family""]",dev
PersonX wants a horse,"[""none"", ""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""dreamy"", ""fantastical"", ""hopeful"", ""adventurous""]","[""daydreams"", ""fantasizes"", ""is rewarded a horse"", ""is better at horseriding"", ""none""]","[""to have a pet"", ""none""]","[""learn to ride a horse"", ""find a place to keep the horse"", ""none"", ""none""]","[""hopeful"", ""hopeful""]","[""bring horse to stable"", ""takes horse for a ride"", ""to ride a horse"", ""to brush his horse"", ""to earn money to buy a horse"", ""to look for a horse"", ""to rent a stall for a horse""]","[""wants"", ""horse""]",trn
PersonX wants a job,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""desperate"", ""diligent"", ""in need"", ""inspired""]","[""Keeps an ear and eye peeled for mentions of job"", ""Thinks inadvertantly about personal qualities"", ""Thinks about money"", ""searching for job"", ""applying for the job.""]","[""none"", ""none""]","[""look at employment ads"", ""apply for a job"", ""to have quit from previous job"", ""to have resume"", ""to have lost their previous job."", ""to want to earn money.""]","[""sad"", ""hopeful"", ""anxious"", ""determined""]","[""get a job"", ""earn money"", ""to apply for jobs"", ""to go for interview"", ""to look for job ads in the paper."", ""to go to an employment office.""]","[""wants"", ""job""]",trn
PersonX wants a motorcycle,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none""]","[""desiring"", ""adventurous"", ""eager"", ""longing"", ""interested"", ""engaged""]","[""personal"", ""important an life"", ""works hard"", ""earns lot money"", ""none""]","[""to look cool"", ""to have inexpensive transportation"", ""none"", ""to enjoy the ride""]","[""to see motorcycles he likes"", ""to ride a motorcycle"", ""research motorcycle ratings"", ""save money to buy a motorcycle""]","[""accomplished"", ""happy"", ""hopeful"", ""thoughtful"", ""nervous"", ""excited""]","[""to buy a motorcycle"", ""to join a motorcycle gang"", ""learn to ride the motorcycle"", ""put on appropriate protective clothing""]","[""wants"", ""motorcycle""]",trn
PersonX wants a new bike,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none""]","[""In need"", ""Desiring"", ""eager"", ""cheerful"", ""athletic"", ""excitable""]","[""saves money"", ""works hard"", ""dreams"", ""plans""]","[""none"", ""to go to school"", ""to go for a shopping"", ""to go for a ride"", ""to get around""]","[""to choose a bike"", ""to save the money for it"", ""to go to the store"", ""to pay for a chosen bike""]","[""wanting"", ""hasty"", ""happy"", ""excited"", ""desire""]","[""to buy it"", ""to ride it"", ""to ride their new bike"", ""to bring their new bike home""]","[""wants"", ""new""]",trn
PersonX wants a new car,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""covetous"", ""desirous"", ""hopeful"", ""observant"", ""greedy"", ""needy""]","[""none"", ""going to ride"", ""doing job"", ""participate ride"", ""enjoying""]","[""they like the vehicle."", ""to travel"", ""to go to work""]","[""to have an old car"", ""to decide which car he likes"", ""none"", ""Hers broke down."", ""She is tired of walking.""]","[""wanting, jealous"", ""envious"", ""jealous of people that have cars""]","[""to buy a car"", ""to sell his old car"", ""to go to the dealership"", ""to see what cars there are"", ""She saved up all her money."", ""Goes to the dealership.""]","[""wants"", ""new""]",trn
PersonX wants a new cell phone,"[""none""]","[""none"", ""also happy"", ""none""]","[""none"", ""none"", ""none""]","[""greedy"", ""selfish"", ""needy"", ""deprived""]","[""gets a new one for his birthday"", ""is offered a new one""]","[""to get a new phone"", ""to be updated"", ""to sell off his old phone"", ""to have an upgrade""]","[""none"", ""to break their old model"", ""to look at new models"", ""none""]","[""excited"", ""happy and proud"", ""excited""]","[""to go to the carrier website"", ""to look at the options"", ""to go to the store"", ""to buy a new model"", ""to research cell phone brands"", ""to buy a new cell phone""]","[""wants"", ""new""]",trn
PersonX wants a new computer,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""longing"", ""hopeful"", ""compulsive"", ""desirous"", ""curious"", ""content""]","[""PersonX grunts in frustration"", ""PersonX spends money on a new computer"", ""none"", ""receives one from the store"", ""becomes more technological""]","[""none"", ""to try new things"", ""to be technologically advanced""]","[""to use his computer."", ""to get upset with his computer performance."", ""to shop for best price"", ""to make a decision"", ""to purchase a new computer"", ""to save money."", ""to sell their old computer.""]","[""yearning"", ""excited"", ""excited"", ""swamped"", ""overloaded""]","[""to go to a store."", ""to search online for special sales."", ""to hook up the computer"", ""to make sure all his programs are installed"", ""to go to the store to buy the computer."", ""to use the computer.""]","[""wants"", ""new""]",trn
PersonX wants a new dog,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""curious"", ""determined"", ""childish"", ""playful"", ""caring"", ""friendly""]","[""thinks about what type"", ""wants to learn about them online"", ""goes to the pound"", ""adopts a dog"", ""BE HAPPY"", ""HAVE FUN""]","[""to get a new pet"", ""to get a companion"", ""none"", ""to have a companion""]","[""none"", ""to find a place to buy a dog"", ""to go look at the animals"", ""none""]","[""satisfied"", ""happy"", ""anxious"", ""loved""]","[""to go to the pound"", ""to pick out a new pet"", ""to pick out the best pet"", ""to pay for the pet"", ""to take home and love"", ""to go to a pet store"", ""to see what dog they want""]","[""wants"", ""new""]",trn
PersonX wants a new dress,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""needy"", ""spoiled"", ""stylish"", ""eager""]","[""none"", ""PersonX thinks deeply about the dress they want"", ""PersonX sweats from  stressing about searching for a dress""]","[""to celebrate his birthday."", ""new clothing""]","[""to put money in the wallet"", ""go to the shop"", ""none"", ""none""]","[""overjoyed and contented"", ""desire""]","[""buy one"", ""ckeck whether it is suitable"", ""to go to the store"", ""to select the dress"", ""visit a store"", ""try on clothing""]","[""wants"", ""new""]",trn
PersonX wants a new haircut,"[""none"", ""Gives X haircut"", ""Gets a tip""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""trendy"", ""clean"", ""ready for a change"", ""adventurous"", ""unattractive"", ""stale""]","[""none"", ""Goes to Barber"", ""Tries to do it themselves""]","[""a  new look"", ""none"", ""a change"", ""a new look""]","[""none"", ""sees the catalogue"", ""finds a parlour"", ""none""]","[""happy"", ""like they have long hair"", ""a need to groom"", ""happy"", ""nice""]","[""to make an appointment"", ""go to a hairstylist"", ""cuts the hair"", ""pays parlour"", ""be more presentable"", ""less to manage""]","[""wants"", ""new""]",trn
PersonX wants a new hairstyle,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""blue"", ""crazy"", ""unique"", ""openminded"", ""pinining"", ""envious""]","[""none"", ""none"", ""try different hair style"", ""jump in joy""]","[""to be more trendy."", ""to change himself"", ""a new hairstyle"", ""to look nice"", ""to be clean"", ""to be fashionable""]","[""to find a barber"", ""have money"", ""Pick a hair cut."", ""Pick a hair stylist."", ""to have new hairstyle"", ""find a new hairstyle""]","[""more in style."", ""happy"", ""satisfied"", ""happy"", ""good-looking""]","[""cuts their hair"", ""cleans up the mess"", ""to go to a party"", ""to go to a job interview"", ""to look out for new hairstyles"", ""to search on the internet""]","[""wants"", ""new""]",trn
PersonX wants a new job,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""ambitious"", ""greedy"", ""thoughtful"", ""enthusiastic""]","[""searching in job portal"", ""making resume"", ""ask friends for job"", ""shines with hope"", ""dreams of possibilities""]","[""a new career"", ""opportunity for career advancement"", ""a higher salary"", ""a company closer to home"", ""none""]","[""to have a job they are working at"", ""to have something about the job be a problem"", ""to talk to the people in charge about the problem"", ""to decide that they cannot tolerate the problem"", ""decide they don't like their current job"", ""be angry at current boss"", ""none""]","[""excited"", ""nervous"", ""relieved"", ""hopeful"", ""determined""]","[""to find somewhere that they can use their skills"", ""to look online for a specific place to work"", ""to send out their resume"", ""to tell others they are looking for work"", ""look for job listings"", ""apply for jobs"", ""to look for a new job"", ""to apply for a new job""]","[""wants"", ""new""]",trn
PersonX wants a new look,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""stylish"", ""trendy"", ""trendy"", ""fashionable"", ""hopeful"", ""eager"", ""enthusiastic""]","[""changes hair"", ""buys clothes"", ""none""]","[""a new style"", ""to change a life"", ""to feel different"", ""something new"", ""something new to read"", ""to immerse themselves in a story""]","[""goes to saloon"", ""have a haircut"", ""to look into a mirror"", ""to decide what they want to change"", ""none""]","[""happy"", ""positive for new look"", ""excited"", ""unsatisfied"", ""impatient to not have anything to read""]","[""check himself in mirror"", ""takes a selfie pic"", ""to go to the salon"", ""to show off their new look"", ""to go for a party"", ""to date college topper""]","[""wants"", ""new""]",trn
PersonX wants a new pair of shoes,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none""]","[""stylish"", ""trendy"", ""shopping"", ""trendy"", ""adamant"", ""eager""]","[""Buys shoes"", ""Thinks about shoes"", ""none""]","[""to get rid of his/her old shoes"", ""to buy a better shoes"", ""to acquire new footwear."", ""to get rid of his old shoes.""]","[""none"", ""none""]","[""happy"", ""content"", ""glad that they got new shoes."", ""happy.""]","[""to look online for shoe  ideas."", ""to go out and try some shoes on."", ""figure out how to afford shoes"", ""go to shoe store"", ""shop online for shoes""]","[""wants"", ""new""]",trn
PersonX wants a new pet,"[""none"", ""none"", ""none""]","[""none"", ""none""]","[""to go home out of the animal shelter"", ""to live with PersonX""]","[""hopeful"", ""determined"", ""caring"", ""loving"", ""inulgent"", ""nurturing""]","[""Thinks about pets"", ""Longs for pet"", ""person x looks at pets"", ""person x gets pet"", ""They research what kind of pet would suit them."", ""They visit a shelter/breeder."", ""They choose their pet."", ""They take the pet to the vet to get an initial check up""]","[""none"", ""to have a companion""]","[""to have grieved"", ""to ask advice"", ""to think about it a long time""]","[""lonely with no pets."", ""happy""]","[""to go to the Animal shelter and see what kinds of animals there are"", ""to be sure he finds one that likes him"", ""to take home the striped tabby cat"", ""to tell everyone how happy they are""]","[""wants"", ""new""]",trn
PersonX wants a new phone,"[""none"", ""none"", ""none""]","[""none"", ""none""]","[""none"", ""none""]","[""selfish"", ""greedy"", ""hopeful"", ""loathing"", ""desirous"", ""longing""]","[""none"", ""none"", ""fix the budget"", ""search the model and brand in the internet"", ""make the money for it""]","[""person x will be the purchaser"", ""a new phone"", ""the old phone may be broken""]","[""none"", ""to lose their old phone."", ""to see a phone that they want.""]","[""excited"", ""excited to try the new phone"", ""explore the new features on the phone""]","[""to go to the store"", ""to buy a new phone"", ""to buy the new phone."", ""to research best deals on phones."", ""to read telephone reviews.""]","[""wants"", ""new""]",trn
PersonX wants a new puppy,"[""none""]","[""none"", ""none"", ""happy""]","[""none"", ""none"", ""none""]","[""hopeful"", ""excited"", ""loving"", ""lonely"", ""lonely"", ""excited""]","[""thinks of puppies"", ""makes plans in head""]","[""none"", ""a better pet"", ""to have a furry companion in life""]","[""none"", ""none"", ""to go to the pet store"", ""look over the puppies for sale and select one""]","[""unloved."", ""unsatisfied"", ""grumpy"", ""amazing""]","[""to go to the animal shelter"", ""to get puppy food"", ""to buy a leash and collar"", ""companionship"", ""to raise a pet"", ""to take the puppy home"", ""to give the puppy a name"", ""to cuddle his new best friend""]","[""wants"", ""new""]",trn
PersonX wants a new purse,"[""none"", ""none""]","[""none"", ""none""]","[""none""]","[""needy"", ""indulgent"", ""impulsive."", ""materialistic."", ""materialistic"", ""needy""]","[""X saves oney"", ""X shops to buy the purse"", ""they recieve one for a birthday."", ""They buy a knockoff on the street.""]","[""to throw away her old purse."", ""have something new"", ""carry their money and things around"", ""to be stylish""]","[""use their old purse"", ""decide it's getting old""]","[""excited."", ""glad"", ""stylish""]","[""to go shopping"", ""to buy a new one""]","[""wants"", ""new""]",trn
PersonX wants a new shirt,"[""none"", ""none"", ""none""]","[""none"", ""none""]","[""none"", ""none""]","[""needy"", ""covetous"", ""hopeful"", ""wishful""]","[""goes to mall"", ""pays for it"", ""get money for the shirt"", ""make the choices of brand"", ""search in the online"", ""buy the shirt"", ""Cash his paycheck"", ""Go to the mall""]","[""to look nice"", ""a new outfit"", ""to go shopping""]","[""to go to the mall"", ""to try shirts on"", ""to go shopping for the shirt"", ""figure out what type of shirt they want tshirt or button down""]","[""materialistic"", ""satisifed"", ""happy"", ""stylish""]","[""to wear their new shirt"", ""to wash their new shirt"", ""wear the new shirt to work"", ""wear the new shirt out to dinner""]","[""wants"", ""new""]",trn
PersonX wants a new tv,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""indulgent"", ""emotional"", ""emotional"", ""hasty"", ""greedy"", ""determined""]","[""none"", ""update nwes tv"", ""news is very important""]","[""a better entertainment system"", ""to watch things"", ""a newer model""]","[""none"", ""none"", ""He tries to turn it on."", ""He throws it out.""]","[""proud"", ""poorer"", ""entertained"", ""satisfied"", ""needy""]","[""to go to the store"", ""to look at the tvs"", ""to enjoy better product"", ""to replace old"", ""He goes to the store."", ""He purchases one.""]","[""wants"", ""new""]",trn
PersonX wants a new video game,"[""none"", ""wants them to learn to be responsible"", ""thinks about getting them the game"", ""none""]","[""none"", ""none"", ""none""]","[""them to work for it"", ""for them to appreciate it when the get it"", ""none"", ""none""]","[""hopeful"", ""anxious"", ""hopeful"", ""outspoken"", ""longing"", ""desirous""]","[""PersonX receives a new video game"", ""PersonX smiles in glee"", ""thinks about the game"", ""want's to ask their parents"", ""none""]","[""to play something new"", ""none"", ""none""]","[""none"", ""none"", ""own a console"", ""be bored""]","[""interested"", ""bored."", ""needy"", ""longing"", ""despair""]","[""to find a good one"", ""to ask if they can get it"", ""to go to Gamestop"", ""to see the selection"", ""go to game store"", ""check out new releases""]","[""wants"", ""new""]",trn
PersonX wants a pet,"[""none"", ""none"", ""none""]","[""none"", ""none""]","[""none"", ""none""]","[""Caring"", ""Walking"", ""kind"", ""isolated"", ""inspired"", ""nurturing""]","[""none"", ""buys a dog"", ""buys a cat"", ""feeling good"", ""nice thought""]","[""a companion"", ""to guard the house""]","[""none"", ""none""]","[""loved"", ""happy and curious to raise it""]","[""to pick out an animal"", ""to bring an animal home"", ""buy one"", ""find one""]","[""wants"", ""pet""]",trn
PersonX wants a pet cat,"[""none""]","[""none"", ""none"", ""none""]","[""none"", ""none""]","[""lonely"", ""loving"", ""eager"", ""lonely"", ""persistant"", ""imaginative""]","[""none""]","[""to be happy"", ""to be a pet owner"", ""none"", ""none""]","[""research breeds"", ""visit an animal shelter"", ""none""]","[""thrilled"", ""eager"", ""wanting"", ""the need for companionship""]","[""companionship"", ""to purchase pet toys"", ""find a cat that needs a home"", ""rescue a cat""]","[""wants"", ""pet""]",trn
PersonX wants a puppy,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none""]","[""inspired"", ""loving"", ""loving"", ""generous""]","[""ask to petshop"", ""get puppy from petshop"", ""seeks people who sell puppies"", ""researches what puppy would be best"", ""thinks about a new puppy"", ""thinks about going to the pet store""]","[""to find companionship"", ""a friend"", ""to have a pet"", ""to have a pet dog""]","[""go to pet store"", ""select puppy"", ""none""]","[""loved"", ""excited"", ""joyful and cheerful""]","[""buy puppy"", ""give money"", ""to go to the pet store"", ""to look at their options""]","[""wants"", ""puppy""]",trn
PersonX wants a puppy for PersonX's birthday,"[""thinks about if they should have one"", ""has to make a decision"", ""none"", ""none""]","[""none"", ""none""]","[""none"", ""to hope the puppy was not a mistake"", ""to make their child happy"", ""none"", ""happy"", ""enjoyment""]","[""hopeful"", ""caring"", ""responsible"", ""loving"", ""hopeful"", ""eager"", ""desirous"", ""envious"", ""deprived""]","[""thinks about names"", ""thinks about kind of puppies"", ""none"", ""buys a pet"", ""visits dog shelter""]","[""to take care of something"", ""to love something"", ""none""]","[""none"", ""beg her parents"", ""to tell her parents which kind she wants"", ""Go to shelter"", ""Pick one out"", ""money"", ""buy gift""]","[""excited"", ""happy"", ""desiring""]","[""to take puppy for walk"", ""to hav anohter puppy"", ""to kiss and hug her new puppy"", ""to kiss and hug her parents"", ""Give it food"", ""Give it water"", ""pleasure"", ""joyful""]","[""wants"", ""puppy""]",trn
PersonX wants a raise,"[""none"", ""none"", ""none""]","[""none"", ""skeptical"", ""reluctant"", ""annoyed""]","[""none"", ""none""]","[""Poor"", ""On track"", ""ambiguous"", ""passionate"", ""talented"", ""hardworking""]","[""DEVELOPE"", ""ECONAMIC STATUS"", ""good feelings"", ""postive thoughts"", ""asks for a raise"", ""gets the raise""]","[""more money"", ""more respect"", ""more money"", ""fair pay"", ""to raise his standard of living""]","[""to write a letter"", ""to think before asking for it"", ""to go to the bosses office"", ""to do a good job""]","[""valued"", ""hopeful"", ""determined"", ""contented with his act""]","[""to see if it has been granted"", ""to look out for a new job"", ""more money"", ""to buy something""]","[""wants"", ""raise""]",trn
PersonX wants a sandwich,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none""]","[""very hungry"", ""eager to eat the sandwich."", ""hungry"", ""famished"", ""starving""]","[""gets kitchen dirty"", ""cleans kitchen desk"", ""gets hungry"", ""lost strength""]","[""none"", ""none""]","[""none"", ""none""]","[""hungry"", ""hungry""]","[""to go to the store"", ""to make one"", ""to go to the kitchen"", ""to make a sandwich""]","[""wants"", ""sandwich""]",trn
PersonX wants a snack,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none""]","[""impetuous"", ""impatient"", ""craving"", ""yearning""]","[""makes a snack"", ""orders a snack"", ""stomach growls"", ""grows faint"", ""goes to the store"", ""wipes their hands""]","[""none"", ""to be fed"", ""none""]","[""to get up"", ""get in the car"", ""go to the kitchen"", ""look in the pantry for snacks""]","[""satisfied"", ""satiated"", ""full"", ""content"", ""hungry and tired""]","[""to eat"", ""get a drink"", ""to eat the snacks"", ""to put the plate in the sink""]","[""wants"", ""snack""]",trn
PersonX wants a tattoo,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""brave"", ""free spirited"", ""openminded"", ""free-spirited"", ""adventurous"", ""trendy"", ""influenced""]","[""none"", ""none""]","[""to express themselves"", ""to express themselves"", ""to belong to a group of people"", ""to be unique""]","[""think of ideas of what kind to get"", ""clean and shave the area"", ""to look for designs"", ""to price out options""]","[""excited"", ""connected"", ""interlinked"", ""regretful""]","[""to research tattoo artists"", ""to save money"", ""to find a tattoo artist"", ""to find a tattoo design"", ""to get inked"", ""visit a tatoo parlour""]","[""wants"", ""tattoo""]",trn
PersonX wants ads,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none""]","[""Busy"", ""Owner"", ""confident"", ""prepared"", ""ambitious"", ""professional""]","[""none"", ""thinks about having ads"", ""purses lips in annoyance""]","[""none"", ""to market something""]","[""to go to an ads designer"", ""to look at how to generate more business"", ""none""]","[""good"", ""like they have a marketable product""]","[""to advertise online"", ""to use the ads on tv"", ""to be entertained"", ""to see more""]","[""wants"", ""ads""]",trn
PersonX wants another ___,"[""none"", ""none"", ""none""]","[""none"", ""none""]","[""none"", ""none""]","[""guilty"", ""greedy"", ""eager"", ""ready"", ""persistent"", ""obsessive""]","[""they need to look for more"", ""they will get into trouble"", ""He stalks people"", ""He waits"", ""thinks about how to get another"", ""remembers what they want"", ""gains experience about what they want""]","[""to eat more"", ""to escape from their problems"", ""to feel intoxicated""]","[""none"", ""go to bar"", ""drink beer""]","[""over full"", ""sad"", ""worried"", ""tired""]","[""find another drink"", ""find something else"", ""evaluate different options"", ""drink beer"", ""order more drink""]","[""wants"", ""another""]",tst
PersonX wants another one,"[""none"", ""none""]","[""none""]","[""to provide another one"", ""to decline another one"", ""none""]","[""non-content"", ""decisive"", ""nice"", ""considerate"", ""hard to please"", ""stubborn""]","[""PersonX receives a receipt"", ""PersonX's heart rate goes up from eagerness"", ""looks around"", ""waits""]","[""to another thing""]","[""to decide what is needed"", ""to deliberate"", ""have a few already"", ""order one""]","[""happy"", ""fulflled""]","[""to ask for another one"", ""to buy another one"", ""have another one"", ""regret the decision""]","[""wants"", ""another""]",tst
PersonX wants anyone,"[""none"", ""none"", ""none""]","[""none""]","[""to apply"", ""to get the job""]","[""mean"", ""rude"", ""lonely"", ""solitary"", ""desperate"", ""lonely""]","[""none"", ""looks"", ""walks all over"", ""is lonely"", ""is annoying""]","[""none""]","[""to be hiring"", ""to not have any applicants""]","[""desperate"", ""lonely""]","[""to look for employees"", ""to hire someone""]","[""wants"", ""anyone""]",trn
PersonX wants anyone to know,"[""Avoids X"", ""Asks X for more detail"", ""anyone gains knowledge"", ""anyone hears gossip"", ""none""]","[""good""]","[""to listen to them"", ""to tell others what was said"", ""none""]","[""excitable"", ""happy"", ""arrogant"", ""braggadocious"", ""vain"", ""lonely"", ""outspoken""]","[""Keeps telling everyone"", ""Spreads the word"", ""none"", ""none""]","[""to be heard""]","[""to have something important"", ""to think other people should know it"", ""none""]","[""good""]","[""to tell lots of people"", ""to see what they think"", ""to be sure people know"", ""to make more people know""]","[""wants"", ""anyone""]",trn
PersonX wants anything,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""employ him"", ""to pay him for his work"", ""none"", ""none"", ""none""]","[""indulgent"", ""emotional"", ""irresponsible"", ""reactive"", ""greedy"", ""insatiable""]","[""none"", ""purchased item"", ""went to home"", ""to wants milk"", ""to milkshake""]","[""none"", ""some food"", ""none""]","[""to not have any"", ""to decide it's important"", ""to see something they want"", ""to go shopping"", ""none"", ""to have nothing"", ""to have no money""]","[""unsatisfied"", ""starved"", ""kind"", ""contemplative""]","[""to get a job"", ""to buy some"", ""to buy something"", ""to make a plan on how to get something"", ""to eat"", ""to have a drink"", ""to find it"", ""to have it""]","[""wants"", ""anything""]",trn
PersonX wants anything to do with PersonY,"[""none"", ""blushes"", ""thanks PersonX"", ""smiles"", ""blushes""]","[""none""]","[""She thinks she's in love."", ""She ends up regretting it."", ""to know where PersonX is"", ""to understand PersonX's intentions"", ""an explanation"", ""to stay away from personX as well""]","[""gullible"", ""innocent"", ""friendly"", ""fun"", ""loving"", ""angry"", ""connected""]","[""gets rejected"", ""gets avoided"", ""smiles"", ""stresses over oppotunities"", ""none""]","[""none""]","[""He follows her everywhere."", ""He hacks into the phone."", ""none"", ""to have a reason why"", ""to know personY""]","[""that he needs help""]","[""Ask her out."", ""Talk to her friends."", ""to find PersonY"", ""to be with PersonY"", ""to stay away from personY"", ""to never talk to him again""]","[""wants"", ""anything""]",trn
PersonX wants blonde hair,"[""none""]","[""none"", ""none"", ""appreciative"", ""attracted""]","[""none"", ""none"", ""none""]","[""Low self-esteem"", ""Dreamer"", ""envious"", ""not content"", ""hopeful"", ""ugly""]","[""must buy dye to achieve it"", ""has people tell them that they are silly""]","[""none"", ""none"", ""to try something different"", ""to be pretty""]","[""to buy color"", ""to go to stylist"", ""none"", ""to have different colored hair"", ""to be unhappy with his/her looks""]","[""sad"", ""bad about his appearance"", ""pretty"", ""excited""]","[""to change it back"", ""to shave head"", ""to be more attractive"", ""to refresh appearance"", ""to buy hair dye"", ""to go to the salon""]","[""wants"", ""blonde""]",trn
PersonX wants candy,"[""none"", ""none"", ""none""]","[""none"", ""none""]","[""none"", ""none""]","[""hungry"", ""craving"", ""a child"", ""fat"", ""Bad"", ""Unhealthy""]","[""BUYS CANDY"", ""GETS CANDY FROM SOMEWHERE"", ""EATS CANDY"", ""Goes to candy shop"", ""Buy candy"", ""drives to the store"", ""pays the cashier""]","[""to have something sweet"", ""none""]","[""play trick-or-treat"", ""crave for something sweet"", ""to go to the street vendor"", ""to have money""]","[""hyper"", ""desire"", ""temptation""]","[""cheer up"", ""yell"", ""get hyped"", ""to eat the candy"", ""to share with his friends""]","[""wants"", ""candy""]",trn
PersonX wants cereal,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none""]","[""health conscious"", ""choosy"", ""hungry"", ""lazy"", ""hungry"", ""young"", ""organised"", ""health conscious""]","[""They go to the shop to buy cereal"", ""They get milk from the fridge"", ""They get a bowl and put cereal in"", ""They get a spoon"", ""buys cereal"", ""distracts herself with activity"", ""decides what cereal they want"", ""thinks about what they have""]","[""none"", ""to eat breakfast"", ""to satisfy his hunger""]","[""milk"", ""a bowl""]","[""like cereal"", ""hungry"", ""not hungry anymore"", ""relieved to get it""]","[""to eat"", ""wants to clean up""]","[""wants"", ""cereal""]",trn
PersonX wants children,"[""none"", ""none""]","[""loved"", ""happy"", ""fulfilled""]","[""to have a baby"", ""to raise a baby"", ""help raise children"", ""be raised by person x""]","[""motivated"", ""inspired"", ""optimistic"", ""caring"", ""parental"", ""maternal""]","[""thinks about having children"", ""thinks about adopting children"", ""get married"", ""adopt kid from orphanage""]","[""to be a parent"", ""to love children"", ""to be a parent"", ""to nurture a child""]","[""none"", ""find a partner"", ""find an adoption agency"", ""have sexual relations""]","[""loved"", ""happy"", ""happy"", ""excited"", ""fulfilled""]","[""to meet someone"", ""to start a relationship"", ""raise their children"", ""announce the birth"", ""celebrate the birth""]","[""wants"", ""children""]",trn
PersonX wants everything,"[""will feel alienated from person X."", ""will feel motivated to help person X."", ""they avoid him"", ""they try to make him happy"", ""none""]","[""none"", ""none""]","[""none"", ""none""]","[""greedy"", ""hoarding"", ""money-grubbing"", ""penny-pinching"", ""greedy"", ""selfish"", ""needy"", ""entitled""]","[""will never be satisfied."", ""will act in selfish ways that alienate him from friends."", ""will work hard to achieve goals."", ""is always looking for more to own"", ""always frowning"", ""will be forever disappointed"", ""will not be happy""]","[""everything"", ""anything they want""]","[""none""]","[""like they still desire everything"", ""needy""]","[""get everything"", ""hide everything"", ""to gain renown"", ""to be rich""]","[""wants"", ""everything""]",dev
PersonX wants food,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""normal"", ""hungry"", ""famished"", ""lazy"", ""hungry"", ""starving""]","[""hungry"", ""paymany"", ""goes to the kitchen"", ""makes a meal"", ""stomach grumbles"", ""salivates""]","[""none"", ""to fill belly"", ""to eat.""]","[""none"", ""to go to the restaurant"", ""to go to the store"", ""to cook some food"", ""to figure out what type of food"", ""find a place that's open""]","[""hungry"", ""to try the new menu"", ""hungry"", ""cranky"", ""full.""]","[""to find something to eat"", ""to cook a meal"", ""to eat the food"", ""to drink water"", ""to sleep"", ""to eat the food"", ""eat dessert""]","[""wants"", ""food""]",trn
